O3,CO,NO,NO2,Nox,SO2,PM10,PM2.5
7.579,1.947,81.943,70.909,152.822,6.942,80.317,
14.901,0.708,20.085,31.817,51.902,3.701,18.583,
8.024,2.269,148.488,59.719,205.897,8.958,78.804,
7.351,2.906,201.325,75.744,279.086,16.169,120.08,
7.127,2.938,209.367,77.677,285.645,10.947,126.905,
6.676,3.218,231.238,84.527,315.966,21.788,170.054,
6.573,3.256,223.975,85.86,312.231,12.988,195.185,
8.542,3.817,277.804,104.522,386.644,19.846,199.274,
9.259,2.539,152.461,76.241,226.405,13.141,149.872,
6.735,3.3,227.273,89.61,315.687,20.958,153.632,
8.318,3.807,284.745,85.59,368.946,11.768,165.153,
6.517,1.751,98.058,52.883,150.93,7.36,82.943,
7.955,1.847,97.231,55.395,152.367,9.513,76.229,
7.949,2.516,165.006,70.458,235.816,12.334,116.698,
7.758,2.259,172.585,73.695,248.16,14.279,139.61,
10.658,2.075,125.818,70.971,195.583,10.549,125.741,
10.255,2.488,143.348,78.145,221.086,9.188,133.519,
7.932,3.373,218.601,95.811,313.117,11.247,177.793,
6.687,3.246,227.87,106.949,333.875,17.566,195.413,
7.278,2.907,162.452,95.695,255.489,15.83,193.04,
8.901,2.835,168.343,91.127,258.965,14.684,191.407,
8.65,2.521,165.904,85.127,249.426,15.501,170.653,
9.395,2.112,132.289,74.609,207.011,10.955,121.492,
11.419,3.575,250.271,78.511,326.285,8.67,105.056,
8.602,2.621,182.11,72.058,252.225,8.263,114.784,
11.62,1.998,100.857,56.581,155.106,5.679,77.21,
16.773,1.42,50.03,47.101,97.047,5.118,50.774,
12.368,2.299,151.853,64.292,217.826,14.689,85.756,
13.551,0.976,26.482,37.98,64.453,5.645,39.169,
13.058,1.11,36.191,36.997,73.053,4.926,40.381,
16.001,1.377,72.168,44.074,116.543,6.655,61.943,
10.035,2.117,122.815,58.811,181.045,9.897,88.154,
8.856,2.728,171.398,77.874,246.911,16.09,140.763,
8.424,2.905,197.188,70.559,270.772,15.918,127.164,
10.308,3.013,194.808,77.77,271.041,14.26,139.68,
9.096,2.747,176.498,71.425,247.899,24.265,147.008,
7.942,1.665,60.326,65.997,121.392,18.908,128.912,
15.74,1.559,50.235,40.888,86.417,3.694,46.046,
19.956,1.068,29.623,34.285,63.17,9.731,30.105,
15.832,1.787,97.301,51.269,144.211,8.2,50.209,
12.977,3.432,208.224,72.185,270.036,10.294,121.946,
15.723,3.766,221.719,80.62,297.341,15.353,137.86,
19.817,2.562,165.223,67.674,229.438,7.884,128.508,
7.372,2.215,101.952,61.067,156.968,7.961,100.318,
14.434,1.444,54.388,37.812,89.358,2.726,30.709,
4.64,2.38,108.61,52.063,160.15,4.736,61.684,
13.569,3.537,204.058,63.144,264.761,7.995,126.173,
8.913,4.281,258.905,71.41,327.312,8.089,126.156,
11.168,3.177,198.205,56.272,254.82,9.358,97.139,
17.659,2.176,114.005,50.974,159.08,7.175,84.68,
15.504,2.085,125.173,46.644,167.721,5.663,60.819,
14.932,4.37,267.102,68.767,329.895,7.797,97.276,
14.817,3.721,257.439,70.771,329.233,7.72,114.996,
16.462,4.644,301.832,78.384,376.747,8.676,122.259,
16.673,3.565,199.599,77.422,269.22,11.289,134.424,
9.892,1.663,62.287,52.906,110.257,6.696,88.786,
13.063,1.53,43.818,43.03,87.014,3.088,44.188,
30.67,0.969,21.634,26.934,44.435,4.458,32.62,
15.33,1.525,65.123,43.231,107.745,5.281,43.973,
16.786,1.596,72.955,42.341,114.436,4.598,46.016,
16.246,1.791,100.122,45.389,145.249,5.853,56.719,
15.503,1.392,49.273,39.371,88.372,5.933,65.497,
12.083,1.294,38.064,38.236,75.801,5.369,62.255,
18.884,0.939,21.61,31.638,52.451,3.927,95.892,
21.548,1.037,23.063,36.199,58.155,3.899,89.7,
20.451,1.561,81.66,50.238,130.879,8.186,109.398,
19.905,1.825,97.058,62.093,158.432,6.548,99.903,
19.313,2.401,138.966,67.304,204.193,10.059,108.174,
15.561,1.92,116.797,53.373,169.887,6.033,85.377,
